Gene Description,Gene Accession Number,39,call,40,call,41,call,42,call,43,call,44,call,45,call,46,call,47,call,48,call,49,call,50,call,51,call,52,call,53,call,54,call,55,call,56,call,57,call,58,call,59,call,60,call,61,call,62,call,63,call,64,call,65,call,66,call,67,call,68,call,69,call,70,call,71,call,72,call
EDNRA Endothelin receptor type A,D11151_at,171,A,51,A,20,A,88,A,-16,A,121,A,12,A,27,A,-54,A,62,A,136,A,60,A,44,A,53,A,198,A,45,A,-4,A,95,A,-88,A,0,A,71,A,17,A,86,A,106,A,53,A,200,A,149,P,23,A,61,A,98,A,28,A,109,P,113,A,97,P
PMP22 Peripheral myelin protein 22,D11428_at,-166,A,-232,A,-65,A,-64,A,110,A,8,A,148,A,40,A,123,A,-229,A,-427,A,-336,A,-177,A,-50,A,-5,A,29,P,-304,A,471,P,-239,A,-160,A,-200,A,-117,A,-418,A,-514,A,-118,A,-447,A,-76,A,-21,A,-99,A,281,A,-63,A,-74,A,207,A,-114,A
Plasma cell membrane glycoprotein (PC-1) mRNA,D12485_at,60,P,-60,A,89,P,51,A,43,A,45,A,-19,P,-41,A,-44,A,79,A,59,A,-27,A,-64,A,-118,A,171,A,-18,A,-69,A,131,A,-55,A,3,P,25,A,-38,A,8,A,76,P,38,A,-192,A,1,A,65,A,95,P,-92,A,35,A,-80,A,90,A,-33,A
NF1 Neurofibromin,D12625_at,0,A,-10,A,29,A,34,A,24,A,166,P,111,A,12,A,-79,A,-52,A,-74,A,-29,A,42,M,46,A,-47,A,-49,A,-62,A,28,A,-23,A,24,A,27,A,-20,A,-26,A,-41,A,-58,A,-86,A,132,A,-30,A,-20,A,-3,A,-27,A,-32,A,-26,A,0,A
Lysosomal sialoglycoprotein,D12676_at,-118,A,-98,A,-43,A,29,A,-45,A,-192,A,-292,A,-17,A,-35,A,-18,A,-138,A,-7,A,-26,A,-82,A,53,A,0,A,-54,A,41,A,-80,A,58,A,-10,A,99,A,-23,A,-4,A,21,A,-8,A,-17,A,-49,A,-5,A,50,A,69,A,-54,A,38,A,0,A
EIF4G Eukaryotic translation initiation factor 4 (eIF-4) gamma,D12686_at,-786,A,-298,A,-1106,A,-1468,A,-942,A,-919,A,-1058,A,-580,A,-323,A,-1062,A,-2283,A,-1414,A,-1595,A,-1130,A,-613,A,-916,A,-743,A,-584,A,-1043,A,-1508,A,-279,A,-747,A,-882,A,-778,A,-1823,A,178,A,-654,A,-352,A,-640,A,-1577,A,-726,A,-1123,A,-793,A,-594,A
ST2 Suppression of tumorigenicity 2,D12763_at,28,A,-313,A,-187,A,-135,A,38,A,-207,A,-17,A,53,A,-258,A,-10,A,-103,A,20,A,-237,A,-177,A,-632,A,-143,A,-67,A,36,A,-222,A,-197,A,-190,A,57,A,23,A,-201,A,-25,A,78,A,-138,A,-80,A,1,A,-142,A,-178,A,-109,A,11,A,-31,A
ATP SYNTHASE LIPID-BINDING PROTEIN P1 PRECURSOR,D13118_at,2768,P,4058,P,2268,P,2668,P,1728,P,1670,P,1874,P,1877,P,3339,P,3561,P,4366,P,2899,P,3487,P,2901,P,5283,P,2634,P,2793,P,2062,P,2285,P,2763,P,1644,P,1950,P,2681,P,3396,P,4103,P,7344,P,2508,P,2303,P,2484,P,2739,P,3120,P,1605,P,1905,P,2107,P
EDNRB Endothelin receptor type B,D13168_at,-7,A,-23,A,-20,A,47,A,16,A,-20,A,103,A,-4,A,0,A,7,A,-22,A,19,A,16,A,10,A,-30,A,9,A,47,A,-41,A,27,A,98,A,5,A,9,A,-23,A,-13,A,25,A,46,A,59,P,63,A,-2,A,2,A,-13,A,9,A,-1,A,29,A
MSR1 Macrophage scavenger receptor 1,D13264_at,-43,A,-27,A,-4,A,-47,A,76,P,-109,A,-85,A,-10,A,35,A,-51,A,-39,A,-11,A,10,A,70,A,13,A,9,A,-29,A,-128,A,55,A,52,A,-10,A,6,A,-65,A,-23,A,-21,A,-32,A,10,A,-49,A,-5,A,-26,A,-74,A,-88,A,-11,A,-49,A
CCKBR Cholecystokinin B receptor,D13305_at,-113,A,-26,A,-324,A,0,A,-235,A,2,A,38,A,-69,A,-75,A,-575,A,-206,A,-23,A,-313,A,-124,A,-232,A,-406,A,12,A,-180,A,-29,A,-194,A,-503,A,-176,A,-160,A,34,A,-252,A,-1312,A,60,A,-158,A,-602,A,-74,A,10,A,-129,A,-85,A,-458,A
GLO1 Glyoxalase I,D13315_at,340,A,187,P,696,P,1137,P,435,P,910,P,705,P,710,P,777,P,1955,P,297,A,551,P,231,A,90,A,529,P,559,A,34,A,579,A,239,P,74,A,462,P,209,A,329,P,252,M,576,P,-168,A,226,M,930,P,566,P,955,P,1393,P,371,P,307,P,551,P
DNA-(APURINIC OR APYRIMIDINIC SITE) LYASE,D13370_at,1366,P,1933,P,2020,P,1252,P,1050,P,1303,P,1953,P,1953,P,2284,P,3931,P,1398,P,2017,P,897,P,676,P,1793,P,2703,P,1767,P,1501,P,1684,P,1050,P,1845,P,1433,P,682,P,785,P,2381,P,2141,P,1401,P,1543,P,1388,P,2795,P,3292,P,1454,P,1129,P,1237,P
PIGF Phosphatidylinositol glycan; class F,D13435_at,135,A,259,A,281,P,98,A,26,A,216,P,234,A,173,A,216,P,453,P,283,A,160,A,140,A,172,P,149,A,205,A,189,A,311,A,186,A,253,P,94,A,155,A,216,A,250,A,351,P,374,P,133,A,28,A,21,A,460,P,294,P,137,A,77,A,151,A
PTPN11 Protein tyrosine phosphatase; non-receptor type 11,D13540_at,74,A,474,A,164,A,52,A,367,A,118,A,149,P,223,M,25,A,39,A,131,A,188,P,207,P,26,A,249,P,374,P,52,A,36,A,123,P,80,A,-7,A,65,A,153,P,32,A,116,A,176,M,97,A,65,A,51,A,88,P,127,P,193,A,38,A,33,A
KIAA0001 gene,D13626_at,-31,A,87,A,23,A,34,A,264,P,-314,A,-387,A,102,A,25,A,638,P,-79,A,123,P,-32,A,-86,A,-29,A,120,A,-77,A,-56,A,11,A,114,P,53,A,19,A,-106,A,74,A,231,P,-21,A,67,A,-52,A,-70,A,1238,P,-74,A,-37,A,-18,A,315,P
KIAA0002 gene,D13627_at,330,P,544,P,998,P,978,P,1206,P,621,P,1157,P,1211,P,1035,P,3895,P,438,P,327,P,255,P,192,P,421,P,784,P,556,P,412,P,349,P,238,A,1159,P,553,P,279,P,873,P,946,P,590,P,403,P,1486,P,621,P,1661,P,3028,P,442,P,525,P,667,P
ANGPT1 Angiopoietin 1,D13628_at,229,P,147,A,144,A,110,A,84,A,-7,A,-3,A,-17,A,237,P,106,A,256,A,239,A,297,P,142,P,351,P,271,A,127,A,139,A,595,P,448,A,73,A,130,A,203,A,88,A,318,P,2326,P,125,A,71,A,437,P,111,P,150,P,47,A,97,A,177,P
KIAA0005 gene,D13630_at,359,P,289,P,673,P,609,P,401,P,480,P,273,P,372,P,485,P,866,P,663,P,513,P,432,P,413,P,460,P,261,P,274,P,453,P,247,P,327,P,282,A,214,P,450,P,220,P,502,P,273,A,234,P,625,P,1301,P,793,P,1047,P,433,P,438,P,585,P
KIAA0008 gene,D13633_at,-9,A,57,A,112,P,207,P,257,P,244,P,252,P,18,A,302,P,475,P,0,A,61,A,26,A,61,A,33,A,79,A,107,A,23,A,119,P,154,A,38,A,66,A,6,A,18,A,49,A,84,A,185,P,86,P,44,A,61,A,69,P,95,P,56,A,17,A
KIAA0009 gene,D13634_at,115,A,248,P,98,A,91,A,182,A,186,A,241,P,31,A,58,A,244,P,245,P,145,P,150,A,80,A,263,P,226,P,132,A,267,P,64,A,265,P,71,A,161,P,270,P,120,P,262,P,303,A,141,A,145,A,138,A,128,P,205,P,157,P,134,A,191,P
KIAA0010 gene,D13635_at,31,A,-43,A,-7,A,40,A,-2,A,62,A,111,P,93,A,31,A,84,P,-159,A,55,A,32,A,30,A,-71,A,-48,A,-24,A,-66,A,-21,A,-77,A,27,A,60,A,75,A,-64,A,-29,A,-149,A,23,A,-60,A,-31,A,164,P,68,M,13,A,37,A,-42,A
KIAA0011 gene,D13636_at,195,A,23,A,386,P,-60,A,295,A,177,A,51,A,193,P,317,A,449,A,-262,A,18,P,-56,A,210,A,142,P,341,A,264,A,285,A,174,M,-43,A,322,M,312,A,0,A,440,P,175,A,566,P,46,A,184,A,346,P,373,P,235,P,-21,A,94,P,-33,A
KIAA0012 gene,D13637_at,161,A,137,A,136,A,-94,A,86,A,99,A,143,A,96,A,-96,A,432,P,-535,A,76,A,-98,A,44,A,-23,A,-121,A,-169,A,-41,A,-72,A,-68,A,101,A,-44,A,-433,A,129,A,253,A,-2,A,-130,A,-126,A,23,A,28,A,331,A,71,M,209,A,50,A
CCND2 Cyclin D2,D13639_at,456,P,3336,P,37,A,655,P,1826,P,1710,P,1450,P,1653,P,2771,P,3575,P,1330,P,597,P,279,P,161,M,2375,P,1381,P,117,A,1449,P,864,P,2086,P,1006,P,1457,P,2451,P,136,A,2724,P,1041,P,1844,P,1345,P,1132,P,3228,P,4392,P,160,P,1204,P,1109,P
HLA-C Major histocompatibility complex; class I; C,D13640_at,1105,A,1204,P,945,P,1751,P,331,P,684,M,2037,P,1646,P,1008,P,932,P,869,A,1173,P,235,A,1351,P,1156,A,1337,P,599,M,759,A,796,P,639,A,2348,P,656,A,1179,P,859,P,858,P,1973,P,277,A,-34,A,618,P,3819,P,1658,P,120,A,518,A,153,A
KIAA0016 gene,D13641_at,760,P,458,P,818,P,793,P,322,P,606,P,756,P,415,P,863,P,698,P,477,P,1115,P,951,P,171,P,1436,P,1010,P,454,A,530,P,493,P,306,P,399,P,375,P,1573,P,345,A,512,P,368,P,457,P,1584,P,1632,P,2236,P,1712,P,361,P,834,P,1718,P
KIAA0017 gene,D13642_at,272,A,150,A,36,A,6,A,302,A,-148,A,38,A,135,A,44,A,134,A,173,A,38,A,-150,A,-238,A,90,A,-85,A,-227,A,280,A,-106,A,49,A,30,A,-41,A,242,A,115,A,139,A,67,A,-33,A,-8,A,29,A,262,A,234,A,-77,A,101,A,50,A
KIAA0018 gene,D13643_at,-1484,A,-1300,A,-219,A,-298,A,-245,A,-216,A,-787,A,-121,A,-176,A,-558,A,-760,A,-297,A,-579,A,-134,A,-338,A,-542,A,-269,A,-947,A,-290,A,-463,A,-180,A,-163,A,-288,A,-576,A,-492,A,-1661,A,-532,A,-108,A,-347,A,-366,A,-514,A,-224,A,-211,A,-563,A
40S RIBOSOMAL PROTEIN S17,D13644_at,125,A,57,A,26,A,12,A,2,A,-29,A,-37,A,37,A,136,A,78,P,178,A,50,A,2,A,0,A,16,A,53,P,22,A,36,A,47,A,55,A,15,A,34,A,19,A,39,A,-39,A,151,A,-14,A,21,P,49,A,58,A,76,P,6,A,42,A,79,P
KIAA0020 gene,D13645_at,-53,A,131,A,176,A,-183,A,9,A,-346,A,-98,A,-20,A,132,A,91,A,-374,A,-170,A,-229,A,-98,A,-14,A,87,A,4,A,-190,A,-56,A,-188,A,-139,A,38,A,-49,A,-106,A,-44,A,-92,A,19,A,41,A,70,A,157,A,113,A,-95,A,-74,A,-115,A
EIF4A1 Eukaryotic translation initiation factor 4A (eIF-4A) isoform 1,D13748_at,3225,P,4583,P,5425,P,4543,P,3922,P,4062,P,6524,P,5885,P,6713,P,6817,P,3846,P,7417,P,4923,P,6702,P,11217,P,8824,P,4586,P,2968,P,5110,P,5659,P,1540,P,3771,P,6805,P,4056,P,9071,P,5186,P,4417,P,5483,P,3313,P,7000,P,10632,P,3726,P,3051,P,3568,P
MGAT3 Mannosyl(beta-1;4-)-glycoprotein beta-1;4-N-acetylglucosaminyltransferase,D13789_at,-1303,A,-781,A,-159,A,-453,A,-721,A,-585,A,217,A,-414,A,-687,A,-353,A,-1725,A,-885,A,-526,A,-506,A,-975,A,-628,A,-741,A,-553,A,-670,A,-726,A,-86,A,-404,A,-730,A,-769,A,-709,A,-1634,A,-460,A,-382,A,-397,A,-374,A,-496,A,-383,A,-512,A,-889,A
Peptide YY precursor gene extracted from Human DNA for peptide YY,D13897_rna2_at,569,A,1267,A,72,A,146,A,249,A,235,A,561,A,95,A,619,A,444,A,767,A,422,A,539,A,441,A,642,A,629,A,222,A,342,A,385,A,590,A,238,A,210,A,260,A,549,A,171,A,580,A,716,A,113,A,427,A,440,A,176,A,15,A,327,A,258,A
Mitochondrial short-chain enoyl-CoA hydratase,D13900_at,2293,P,1077,P,1745,P,1809,P,886,P,1836,P,1992,P,1199,P,1607,P,3233,P,2404,P,1145,P,1416,P,1942,P,1569,P,2141,P,1705,P,1158,P,1008,P,995,P,1822,P,992,P,2199,P,1598,P,3085,P,2681,P,1482,P,1477,P,978,P,2675,P,2646,P,1409,P,986,P,1611,P
DNA-BINDING PROTEIN MEL-18,D13969_at,-135,A,-373,A,-37,A,-297,A,-329,A,-211,A,-195,A,-53,A,27,A,-36,A,-373,A,-176,A,-189,A,-190,A,-48,A,-116,A,-197,A,-95,A,-143,A,-454,A,-91,A,-185,A,-218,A,-71,A,-120,A,-48,A,-97,A,-126,A,-28,A,-165,A,-23,A,-156,A,3,A,-7,A
Rab GDI mRNA,D13988_at,1479,P,1264,P,1402,P,1218,P,1382,P,1982,P,1633,P,1583,P,983,P,1261,P,1455,P,1382,P,826,P,100,A,799,P,1066,P,981,P,502,P,910,P,553,P,889,P,688,P,804,P,600,P,974,P,919,A,401,P,797,P,568,P,3345,P,3430,P,1460,P,611,P,1055,P
PUTATIVE MUCIN CORE PROTEIN PRECURSOR 24,D14043_at,231,P,1427,P,893,P,1093,P,870,P,610,P,621,P,1091,P,2927,P,3479,P,794,P,1059,P,416,P,788,P,792,P,957,P,456,P,2345,P,615,P,482,P,724,P,371,P,593,P,1007,P,1353,P,2307,P,341,P,1006,P,1306,P,1263,P,2719,P,348,P,721,P,762,P
RECA Replication protein A (E coli RecA homolog; RAD51 homolog),D14134_at,-130,A,-136,A,-25,A,-132,A,-84,A,-14,A,-110,A,-83,A,-142,A,-170,A,-175,A,-33,A,-48,A,-73,A,-258,A,29,A,-22,A,-270,A,-135,A,-148,A,-15,A,-76,A,-147,A,-210,A,-135,A,-341,A,-129,A,-95,A,-98,A,-84,A,-77,A,-74,A,-127,A,-153,A
HFREP-1 mRNA for unknown protein,D14446_at,205,A,127,A,29,A,225,A,141,A,-34,A,61,A,86,A,189,A,239,A,166,A,154,A,136,A,88,A,135,A,134,A,142,P,159,A,17,A,278,A,96,A,74,A,121,A,173,A,266,A,371,A,132,A,-8,A,81,A,94,A,110,A,74,A,74,A,163,P
COT Proto-oncogene c-cot (protein-serine/threonine kinase),D14497_at,-45,A,57,A,46,A,5,A,-26,A,-91,A,-99,A,4,A,-2,A,-11,A,4,A,0,A,12,A,-21,A,-2,A,-28,A,-17,A,-23,A,1,A,3,A,-17,A,17,A,0,A,30,A,-6,A,-62,A,-30,A,-19,A,19,A,48,A,81,A,18,A,18,A,29,A
GC-Box binding protein BTEB2,D14520_at,65,A,-121,A,-28,A,-223,A,153,A,-94,A,-35,A,53,A,48,A,-33,A,142,A,-27,A,-10,A,-25,A,-21,A,-29,A,-44,A,18,A,102,A,-108,A,45,A,103,A,117,A,74,A,-33,A,-127,A,68,A,54,A,130,A,-21,A,-4,A,0,A,22,A,105,A
40S RIBOSOMAL PROTEIN S23,D14530_at,13361,P,16673,P,17067,P,16061,P,16511,P,13143,P,15098,P,15230,P,19362,P,21519,P,18585,P,16366,P,16968,P,18951,P,19821,P,14452,P,14861,P,15038,P,17198,P,11959,P,10739,P,15716,P,16422,P,14528,P,18674,P,18700,P,16436,P,16098,P,16347,P,17040,P,19197,P,12071,P,17966,P,17544,P
XPA Xeroderma pigmentosum; complementation group A,D14533_at,-410,A,-300,A,-97,A,-82,A,122,A,-69,A,-75,A,-63,A,-84,A,-66,P,-227,A,-375,A,-356,A,-48,A,-341,A,-37,A,-369,A,-236,A,-243,A,-587,A,-249,A,-169,A,-203,A,-152,A,-304,A,-428,A,-247,A,-58,A,-1,A,-251,A,-178,P,-154,A,-72,A,-177,A
KIAA0101 gene,D14657_at,436,P,412,P,842,P,1541,P,670,P,1145,P,997,P,415,P,1666,P,4514,P,794,P,698,P,770,P,162,P,504,P,1236,P,806,P,1261,P,972,P,139,A,876,P,647,P,227,P,210,A,478,P,111,A,757,P,1295,P,174,P,1089,P,176,P,340,A,74,A,662,P
KIAA0102 gene,D14658_at,444,M,828,P,857,P,583,P,1004,P,972,P,711,P,557,P,1199,P,2177,P,991,P,296,P,289,A,260,P,285,A,1008,P,521,P,906,P,404,P,312,P,968,P,628,P,392,A,929,P,949,P,509,P,227,P,530,P,272,A,1238,P,1392,P,680,P,223,P,294,P
KIAA0103 gene,D14659_at,-12,A,74,A,67,A,76,A,28,A,2,A,-63,A,67,P,0,A,114,P,-9,A,17,A,-12,A,20,A,99,P,115,P,52,A,110,A,-7,A,55,A,30,A,95,A,6,A,81,A,106,P,111,A,15,A,10,A,68,P,57,A,68,P,9,A,32,A,27,A
PUTATIVE 60S RIBOSOMAL PROTEIN,D14660_at,-82,A,-36,A,104,A,12,A,40,A,28,A,-40,A,21,A,2,A,144,P,-51,A,-71,A,-106,A,-11,A,-109,A,17,A,-14,A,38,A,-35,A,-80,A,-12,A,-23,A,-39,A,13,A,-25,A,-184,A,-17,A,69,A,-24,A,65,P,73,P,88,P,-9,A,2,A
KIAA0105 gene,D14661_at,400,P,272,P,355,P,1100,P,324,P,555,P,133,P,337,P,327,P,805,P,317,P,544,P,337,P,83,A,822,P,196,A,157,P,350,P,41,A,148,A,203,A,187,P,429,P,240,P,326,P,403,P,296,P,302,P,787,P,537,P,936,P,241,P,817,P,1381,P
KIAA0106 gene,D14662_at,417,M,863,P,826,P,494,P,497,P,440,P,550,P,433,P,540,P,1553,P,733,P,651,P,464,P,665,P,449,P,1038,P,621,P,533,P,326,P,423,A,772,P,564,A,591,P,349,P,621,P,642,P,618,P,545,P,596,P,1906,P,1444,P,659,P,293,P,543,P
KIAA0107 gene,D14663_at,598,P,202,P,402,P,720,P,379,P,363,P,372,P,179,P,401,P,1039,P,814,P,647,P,498,P,110,P,1038,P,598,P,414,P,180,P,345,P,463,A,427,P,247,P,838,P,315,P,590,P,300,P,362,P,523,P,422,P,1412,P,771,P,335,P,671,P,730,P
KIAA0022 gene,D14664_at,101,A,74,A,84,A,1,A,62,A,-74,A,18,A,47,A,302,A,140,A,-132,A,287,P,221,P,299,P,184,M,654,P,112,P,-36,A,226,P,213,A,76,A,434,P,227,A,600,P,819,P,124,A,203,P,36,A,47,A,290,P,163,P,61,P,-1,A,50,A
Kinesin-related protein; partial cds,D14678_at,50,A,-553,A,252,A,2,A,81,A,189,A,-100,A,187,A,172,A,-59,A,-121,A,-254,A,-62,A,-186,A,-118,A,31,A,59,A,-56,A,-13,A,-77,A,167,A,60,A,-132,A,-231,A,-342,A,-604,A,-113,A,23,A,-147,A,55,A,-9,A,6,A,-58,A,26,A
AMT Glycine cleavage system protein T (aminomethyltransferase),D14686_at,354,A,464,A,212,A,692,P,177,A,312,A,111,A,245,A,445,A,465,P,531,A,122,A,329,A,275,A,585,A,336,A,242,A,538,A,314,A,-247,A,279,P,-6,A,838,P,447,P,354,A,1434,P,277,A,197,A,384,A,447,P,298,P,160,M,-12,A,250,A
NUCLEAR PORE COMPLEX PROTEIN NUP214,D14689_at,557,P,436,P,784,P,447,A,831,A,594,P,813,P,900,P,498,M,925,P,1273,A,690,P,472,P,1123,P,1211,P,1267,P,766,P,988,A,579,P,1032,P,971,P,967,P,827,P,685,P,1299,P,1149,P,848,P,312,P,502,P,1482,P,835,P,267,A,165,A,582,A
PHOSPHATIDYLSERINE SYNTHASE I,D14694_at,1431,P,1155,P,1883,P,1569,P,1011,P,1080,P,2007,P,859,P,2006,P,1883,P,1964,P,997,P,1269,P,2994,P,1413,P,2145,P,1510,P,1568,P,1493,P,1517,P,732,P,1635,P,2119,P,1540,P,3042,P,1954,P,1570,P,1277,P,1403,P,3082,P,1810,P,1271,P,1166,P,1315,P
APOA2 Apolipoprotein A-II,D14695_at,296,A,206,A,114,P,330,P,175,P,114,A,442,P,232,P,487,P,319,P,532,A,188,A,166,A,157,A,417,P,232,P,152,A,18,P,196,P,238,A,5,A,229,A,201,A,461,A,778,P,482,A,465,P,128,A,247,P,-172,A,424,P,100,A,257,P,303,P
ATP5A1 ATP synthase; H+ transporting; mitochondrial F1 complex; alpha subunit; isoform 1; cardiac muscle,D14710_at,2920,P,3187,P,5546,P,3358,P,3278,P,3941,P,3260,P,3417,P,5148,P,6462,P,5320,P,2765,P,3383,P,3631,P,3614,P,6868,P,4451,P,2999,P,2865,P,2460,P,2150,P,3192,P,2917,P,2571,P,6013,P,2429,P,3104,P,5898,P,2719,P,8928,P,6471,P,2968,P,2244,P,3424,P
KIAA0110 gene,D14811_at,238,M,323,A,316,P,315,P,230,A,-17,A,499,P,8,A,214,A,422,P,616,A,537,P,406,P,278,P,763,P,155,P,219,A,296,P,336,A,-83,A,78,A,77,A,671,P,213,A,394,M,528,A,194,A,249,P,369,P,529,P,496,P,210,A,413,P,449,P
KIAA0026 gene,D14812_at,2404,P,1305,P,2376,P,2553,P,1408,P,1704,P,2436,P,2233,P,3610,P,6604,P,1830,P,2223,P,3296,P,846,P,4661,P,3080,P,1283,P,1460,P,1507,P,1338,P,1273,P,1812,P,2691,P,1855,P,2940,P,4052,P,1706,P,3029,P,2331,P,3916,P,3220,P,1189,P,1729,P,2524,P
GB DEF = Chimeric mRNA derived from AML1 gene and MTG8(ETO) gene; partial sequence,D14822_at,0,A,48,A,32,A,27,A,-12,A,-69,A,-37,A,27,A,33,A,-13,A,64,A,47,A,100,P,-53,A,-43,A,28,A,42,A,-2,A,3,A,40,A,-76,A,31,A,88,A,-74,A,68,A,-121,A,33,A,-78,A,5,A,25,A,11,A,-41,A,14,A,-2,M
GB DEF = Chimeric mRNA derived from AML1 gene and MTG8(ETO) gene; partial sequence,D14823_at,36,A,36,A,28,A,-2,A,31,A,133,A,174,A,31,A,12,A,-2,A,-64,A,100,A,-26,A,-18,A,63,A,14,A,39,A,18,A,104,A,64,A,38,A,30,A,4,A,60,A,-6,A,78,A,56,A,-65,A,28,A,-5,A,24,A,29,A,30,A,-1,A
GB DEF = Tax helper protein 1,D14827_at,-325,A,-38,A,-39,A,239,A,0,A,-250,A,-309,A,89,A,63,A,170,A,-8,A,280,A,-82,A,164,A,-253,A,-21,A,304,A,66,A,-1,A,961,M,279,A,391,A,457,A,-55,A,162,A,357,A,26,A,-110,A,-61,A,-44,A,-142,A,-119,A,160,A,30,A
FGF9 Fibroblast growth factor 9 (glia-activating factor),D14838_at,-79,A,-45,A,-111,A,31,A,-9,A,-57,A,94,A,-43,A,-67,A,-29,A,41,P,-167,A,-124,A,-166,A,-12,A,-98,A,-47,A,-118,A,-106,A,-9,A,139,A,-120,A,43,P,-50,A,-35,A,-5,A,-148,A,-15,A,224,A,-49,A,4,A,-232,A,35,A,-67,A
ADM Adrenomedullin,D14874_at,164,A,187,A,-18,A,389,P,120,A,-106,A,137,A,264,P,138,A,42,A,82,A,214,A,172,M,77,A,252,P,45,A,142,A,38,A,121,A,253,P,30,A,42,A,173,P,157,P,186,P,273,A,226,P,26,A,241,P,173,A,409,P,159,P,185,A,111,P
Protein D123,D14878_at,238,A,346,P,718,P,439,P,242,P,314,A,306,M,238,P,714,P,1026,P,534,P,522,P,559,M,200,A,526,P,966,P,634,P,396,P,253,M,268,A,310,P,353,P,483,P,370,A,766,P,664,A,764,P,475,P,498,P,936,P,833,P,272,A,367,P,587,P
Small GTP-binding protein; S10,D14889_at,547,M,379,P,111,A,286,P,293,P,226,A,284,A,259,A,432,A,398,A,646,P,693,P,559,A,306,P,746,P,718,P,337,A,533,P,367,A,646,P,338,A,157,A,600,A,428,A,591,P,843,P,282,P,258,A,553,P,295,P,468,A,208,A,404,P,457,P
PTPRH Protein tyrosine phosphatase,D15049_at,-21,A,-282,A,48,A,311,A,-26,A,-111,A,-155,A,101,A,-84,A,82,A,-306,A,-71,A,-68,A,13,A,434,A,430,A,-57,A,172,A,76,A,340,A,-114,A,-66,A,-149,A,-298,A,219,A,257,A,-3,A,6,A,129,A,150,A,237,A,51,A,-12,A,131,A
Transcription factor AREB6,D15050_at,473,A,355,A,432,P,2517,P,593,P,157,A,669,P,2099,P,485,P,630,P,1161,P,752,P,597,P,272,A,814,P,361,A,571,P,520,P,233,A,831,P,477,P,256,P,615,P,613,P,1145,P,748,P,1113,P,602,P,1171,P,1856,P,2393,P,1188,P,1237,P,1107,P
DEFENDER AGAINST CELL DEATH 1,D15057_at,369,P,178,P,1444,P,593,P,468,P,456,P,534,P,833,P,628,P,2613,P,320,P,334,P,432,P,1118,P,540,P,781,P,541,P,275,P,723,P,797,P,767,P,412,P,342,P,338,P,834,P,151,M,433,P,1091,P,238,P,692,P,1168,P,117,P,255,P,654,P
PMP2 Peripheral myelin protein 2,D16181_at,41,A,133,A,29,A,77,A,88,A,29,A,129,A,53,P,-21,A,92,A,5,A,41,A,82,A,33,A,-24,A,152,A,72,A,43,A,1,A,-105,A,94,A,20,A,97,A,46,A,3,A,135,A,187,A,-41,A,80,A,43,A,2,A,-38,A,70,A,30,A
CAST Calpastatin,D16217_at,407,P,869,P,349,P,775,P,499,P,283,P,527,P,460,P,369,M,795,P,752,P,447,P,917,P,608,P,1057,P,696,P,304,P,494,P,406,P,673,P,449,P,271,P,381,P,1862,P,1350,P,1081,P,259,P,508,P,380,P,722,P,868,P,586,P,623,P,565,P
HPCAL1 Hippocalcin-like 1,D16227_at,-393,A,-7,A,-23,A,15,A,-21,A,-259,A,-431,A,2,A,-254,A,-219,A,-662,A,-405,A,-635,A,-162,A,-224,A,-275,A,-34,A,-141,A,-106,A,-111,A,-2,A,93,A,-179,A,217,A,72,A,-227,A,-78,A,-6,A,-9,A,327,P,36,A,-204,A,-7,A,-253,A
3-KETOACYL-COA THIOLASE MITOCHONDRIAL,D16294_at,190,P,213,P,377,P,363,P,132,P,416,P,109,A,547,P,58,A,618,P,195,A,293,P,189,A,-17,A,299,P,307,P,262,P,236,P,27,A,46,A,188,A,126,A,238,P,118,A,169,A,197,M,130,M,356,P,239,P,648,P,458,P,85,A,85,A,221,P
SA mRNA for SA gene product,D16350_at,89,A,33,A,14,A,-23,A,72,A,50,A,81,A,56,A,90,A,33,A,-74,A,-14,A,136,A,-57,A,293,A,0,A,-27,A,10,A,82,A,123,A,-66,A,117,A,60,A,-90,A,11,A,56,A,-44,A,43,A,10,A,-1,A,48,A,-15,A,12,A,37,A
ORF; Xq terminal portion,D16469_at,-19,A,226,M,516,P,770,P,413,A,465,A,844,P,1211,P,874,P,2058,P,460,M,1427,P,1094,P,831,P,1995,P,1507,P,748,P,589,P,727,P,843,P,1352,P,1213,P,3697,P,1095,P,1043,P,1848,P,678,P,47,A,716,P,2181,P,1370,P,21,A,602,P,651,P
VLDLR Very low density lipoprotein receptor,D16532_at,79,A,-73,A,165,P,-20,A,84,A,32,A,-37,A,-49,A,-6,A,126,A,34,A,63,A,42,A,34,A,33,A,-38,A,-37,A,-25,A,-47,A,71,A,-83,A,-3,A,188,A,53,A,61,A,86,A,0,A,-63,A,32,A,76,A,12,A,-41,A,-3,A,-19,A
ATP SYNTHASE GAMMA CHAIN; MITOCHONDRIAL PRECURSOR,D16562_at,1494,P,2491,P,2442,P,2939,P,1877,P,2981,P,2123,P,1621,P,2719,P,3794,P,2967,P,3660,P,2540,P,2417,P,1786,P,3679,P,1263,P,1794,P,1474,P,1585,P,2722,P,1898,P,2468,P,1922,P,4320,P,1214,P,2073,P,3086,P,1434,P,4596,P,1916,P,2688,P,1003,P,1305,P
